geo_point_2d;Geo Shape;id_local;id_osm;code_com;coordonneesxy;capacite;capacite_cargo;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;lumiere;url_info;d_service;source;proprietaire;gestionnaire;date_maj;commentaires
47.26359109999994, -2.2434552;"{""coordinates"": [-2.2434552, 47.26359109999994], ""type"": ""Point""}";478;n8672419372;44184;[-2.243455200000005,47.2635911];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.27992419999997, -2.2140544;"{""coordinates"": [-2.2140544, 47.27992419999997], ""type"": ""Point""}";481;n8676233763;44184;[-2.214054400000006,47.27992420000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.28247419999995, -2.2113317;"{""coordinates"": [-2.2113317, 47.28247419999995], ""type"": ""Point""}";434;n1681877439;44184;[-2.2113317000000032,47.2824742];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.26294319999996, -2.225006;"{""coordinates"": [-2.225006, 47.26294319999996], ""type"": ""Point""}";463;n8672266216;44184;[-2.2250060000000045,47.2629432];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.276257599999965, -2.2038385;"{""coordinates"": [-2.2038385, 47.276257599999965], ""type"": ""Point""}";496;n8528572843;44184;[-2.2038385000000007,47.2762576];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.27519039999996, -2.203731200000012;"{""coordinates"": [-2.203731200000012, 47.27519039999996], ""type"": ""Point""}";495;n8528565556;44184;[-2.203731200000006,47.275190400000014];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Ville de Saint-Nazaire;2022-09-19;
47.32034845065884, -2.191902770064897;"{""coordinates"": [-2.191902770064897, 47.32034845065884], ""type"": ""Point""}";639;;44210;[-2.191902770064898,47.320348450658884];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;CARENE;;2022-09-19;
47.29871002668505, -2.184271306001614;"{""coordinates"": [-2.184271306001614, 47.29871002668505], ""type"": ""Point""}";541;;44184;[-2.184271306001617,47.2987100266851];3;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.27519412831135, -2.204347716095891;"{""coordinates"": [-2.204347716095891, 47.27519412831135], ""type"": ""Point""}";521;w149949484;44184;[-2.204347716095891,47.275194128311405];22;;CADRE ET ROUE;RATELIER;ABONNEMENT OU INSCRIPTION PREALABLE;Faux;CONSIGNE COLLECTIVE FERMEE;Vrai;Faux;Vrai;https://www.velyceo.com/abris-velos;;"© les contributeurs d’OpenStreetMap ; © CARENE";;STRAN;2024-02-23;"Abonnement annuel 12 € ; Accès avec le pass mobilité Ycéo délivré à l’Espace Mobilité Ycéo, 6 place Sémard à Saint-Nazaire (pièces justificatives demandées)"
47.28587033772643, -2.210292648507526;"{""coordinates"": [-2.210292648507526, 47.28587033772643], ""type"": ""Point""}";652;;44184;[-2.2102926485075267,47.285870337726486];16;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2023-01-19;
47.285732264614445, -2.210920696897797;"{""coordinates"": [-2.210920696897797, 47.285732264614445], ""type"": ""Point""}";655;;44184;[-2.2109206968977935,47.285732264614474];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2023-01-19;
47.23671339963746, -2.301364506781126;"{""coordinates"": [-2.301364506781126, 47.23671339963746], ""type"": ""Point""}";108;n1837410016;44184;[-2.3013645067811193,47.23671339963751];22;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.30036705469946, -2.204245565320333;"{""coordinates"": [-2.204245565320333, 47.30036705469946], ""type"": ""Point""}";16;n3269202634;44210;[-2.20424556532033,47.30036705469952];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;à vérifier
47.263541342500474, -2.238099529532972;"{""coordinates"": [-2.238099529532972, 47.263541342500474], ""type"": ""Point""}";558;;44184;[-2.238099529532972,47.26354134250052];6;;CADRE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;© CARENE;;;2022-09-19;
47.28378719999994, -2.2197588;"{""coordinates"": [-2.2197588, 47.28378719999994], ""type"": ""Point""}";402;n2717365369;44184;[-2.219758800000004,47.283787199999985];6;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.36892237827749, -2.196260683513431;"{""coordinates"": [-2.196260683513431, 47.36892237827749], ""type"": ""Point""}";187;n8789338662;44168;[-2.196260683513438,47.36892237827753];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.31132309999995, -2.3116589;"{""coordinates"": [-2.3116589, 47.31132309999995], ""type"": ""Point""}";200;n8789262042;44151;[-2.3116589000000047,47.31132310000001];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Commune de St André des Eaux;2022-09-19;
47.382166399999946, -2.2001952;"{""coordinates"": [-2.2001952, 47.382166399999946], ""type"": ""Point""}";214;n8789338665;44168;[-2.200195200000005,47.38216639999999];3;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.39848079999996, -2.090159;"{""coordinates"": [-2.090159, 47.39848079999996], ""type"": ""Point""}";234;n8789439951;44013;[-2.0901590000000025,47.398480800000016];5;;ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.25941179999996, -2.3295129;"{""coordinates"": [-2.3295129, 47.25941179999996], ""type"": ""Point""}";235;n8791327438;44132;[-2.3295129000000045,47.25941180000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.269318299999945, -2.343;"{""coordinates"": [-2.343, 47.269318299999945], ""type"": ""Point""}";240;n8791327435;44132;[-2.3430000000000026,47.2693183];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.269098, -2.342874900000012;"{""coordinates"": [-2.342874900000012, 47.269098], ""type"": ""Point""}";244;n8791315527;44132;[-2.3428749000000066,47.26909800000001];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.276338299999956, -2.2103419;"{""coordinates"": [-2.2103419, 47.276338299999956], ""type"": ""Point""}";81;n1681877412;44184;[-2.2103419000000044,47.2763383];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.265971899999954, -2.3407317;"{""coordinates"": [-2.3407317, 47.265971899999954], ""type"": ""Point""}";274;n5825011272;44132;[-2.3407317000000063,47.2659719];2;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.256248399999954, -2.3406661;"{""coordinates"": [-2.3406661, 47.256248399999954], ""type"": ""Point""}";289;n6087999786;44132;[-2.340666100000003,47.25624840000001];18;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.2522713401296, -2.333393638650608;"{""coordinates"": [-2.333393638650608, 47.2522713401296], ""type"": ""Point""}";291;n7790887511;44132;[-2.3333936386506124,47.252271340129674];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.25199149999997, -2.3336588;"{""coordinates"": [-2.3336588, 47.25199149999997], ""type"": ""Point""}";293;n7790898480;44132;[-2.3336588000000025,47.251991500000024];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.33093679999997, -2.153213;"{""coordinates"": [-2.153213, 47.33093679999997], ""type"": ""Point""}";303;n8520994894;44103;[-2.153213000000005,47.33093680000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;Commune de Montoir-de-bretagne;2022-09-19;
47.28433339999996, -2.2109156;"{""coordinates"": [-2.2109156, 47.28433339999996], ""type"": ""Point""}";115;n1833314246;44184;[-2.2109156000000025,47.28433340000001];10;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.284963, -2.2106447;"{""coordinates"": [-2.2106447, 47.284963], ""type"": ""Point""}";116;n1833314247;44184;[-2.2106447000000036,47.28496300000002];8;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;Faux;Faux;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
47.27196314821879, -2.229580864166832;"{""coordinates"": [-2.229580864166832, 47.27196314821879], ""type"": ""Point""}";279;n6173228215;44184;[-2.229580864166831,47.27196314821884];4;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;Vrai;STATIONNEMENT NON FERME;Faux;;;;;"© les contributeurs d’OpenStreetMap ; © CARENE";;;2022-09-19;
